id,s_group_id,m_group_id,w_group_id,is_core_row
595454,,,,
595436,,,,
581367,,,,
595133,,,,
595994,,,,
591508,,,,
582952,,,,
582954,,,,
591672,,,,
594457,,,,
594015,,,,
594020,,,,
594817,,,,
582578,,,,
595815,,,,
576459,,,,
595714,,,,
595711,,,,
589649,,,,
589622,,,,
581776,,,,
583895,,,,
593727,,,,
593300,str_54,med_100,,1
583840,,,,
592498,,,,
588164,,,,
594191,str_53,med_99,,1
594188,str_53,med_99,,
594300,,,,
579478,,,,
593272,,,weak_441,
584314,,,,
584829,,,,
581209,,,,
595786,,,,
592963,,,weak_441,1
596089,,,,
579607,,,,
593000,,,,
593511,str_54,med_100,,
584133,,,,
586320,,,,
583747,,,,
581617,,,,
587344,,,,
578138,,,,
581794,,,,
583872,,,weak_399,
578871,,med_101,weak_399,1
581007,,,,
592084,,,,
577814,,,,
579477,,,,
578222,,,weak_45,1
578204,,med_101,,
593784,,,,
577124,,,,
594640,,,,
594633,,,,
581600,,,,
578933,,,,
575654,,,,
596561,,,,
591493,,,,
585635,,,,
594985,,,,
578167,,,,
575188,,,,
588920,,,weak_296,
591028,str_65,med_112,,1
575933,str_57,med_104,,1
575930,str_56,med_104,,1
575928,str_59,med_106,,1
575910,str_55,med_104,,1
575908,str_58,med_105,,1
575899,,med_104,,
575956,str_55,med_102,,
575950,str_60,med_107,,1
575945,,med_104,,
575894,,med_104,,
575893,,med_104,,
575886,str_56,med_103,,
575884,,med_104,,
575879,str_57,med_104,,
575904,str_58,med_105,,
575943,,med_104,,
575938,str_58,med_105,,
575889,,med_104,,
575868,str_59,med_106,,
575902,str_60,med_107,,
580049,,,,
592338,,,,
594958,,,,
594226,,,,
594057,,,,
575853,,,,
575753,,,weak_228,
592471,,,,
585366,,,,
577414,,,,
593022,,,,
589318,,,weak_296,1
586570,,,,
577880,,,,
587262,,,,
587243,,,,
584995,,,,
585020,,,,
591358,,,,
593461,,,,
591775,str_61,med_108,,1
592668,,,,
595444,,,,
578941,,,,
578984,,,,
578958,,,,
585169,,,,
591778,str_61,med_108,,
576671,,,weak_228,1
595915,,,,
593097,,,,
583773,,,,
579869,,,,
578217,,,,
596199,,,,
588602,,,,
588673,,,,
589983,,,,
579141,,,,
592702,,,,
592041,,,,
579435,,,,
576649,,,,
596045,,,,
575679,,,,
580370,,,,
593987,,,,
583768,,,,
577416,,,,
577419,,,,
577406,,,,
591489,,,,
591819,,,,
579523,,med_114,,1
584969,,med_114,,
593015,,,,
593543,,,,
577352,,,,
590558,,,,
585347,,,,
575971,,,,
589783,,,,
583984,,,,
594405,,,,
579436,,,,
579432,,,,
591518,,,,
582117,,,,
583797,,,,
583749,,,,
591963,,,,
583520,,,,
579871,,,,
580043,,,,
594180,,,,
576830,,,,
590113,,,,
593320,,,,
577210,,,,
582538,str_63,med_110,,1
582535,,,,
585003,,med_116,,1
583770,,,weak_110,
583735,,,,
582379,str_62,med_109,,1
582956,str_62,med_109,,
582934,,med_116,,
584919,,med_116,,
583638,,,,
583817,,,weak_110,1
583643,str_63,med_110,,
582944,,,,
590504,,,,
593438,,,,
590516,,,,
592898,,,,
594511,,,,
593075,,,,
594347,,,,
585247,,,,
594710,,,,
579458,,,,
578967,str_64,med_111,,1
578979,str_64,med_111,,
579721,,,,
580755,,,,
582229,,,,
587356,,med_115,,1
587359,,med_115,,
592958,,,,
592954,,,,
576356,,,,
585733,,,,
585634,,,,
578688,,,,
585739,,med_115,,
578202,,med_115,,
586899,,,,
593223,,,weak_450,
593071,,,,
593053,,,,
590486,,,,
586238,,,,
577004,,,,
581031,,,,
577362,,,,
583828,,,,
577312,,,,
594177,,,,
590539,,,,
592736,,,,
590076,,,,
584667,,,,
578287,,,,
578281,,,,
589071,,,,
591908,,,,
578329,,,,
589077,,,,
580797,,,,
576761,,,,
577289,,,,
583982,,,,
578336,,,,
584389,,,,
587463,,,,
591032,str_65,med_112,,
595480,,,,
594331,,,,
588769,,,,
588768,,,,
589304,,,,
584956,,,weak_98,
594844,,,,
594819,,,,
594371,,,,
591609,,,,
594364,,,,
585659,,,,
585639,,,weak_98,1
585738,,,,
595726,,,,
578584,,,,
577524,,,,
577522,,,,
590292,,,,
591681,,,,
592912,,,,
592916,,,,
592914,,,,
584143,,,,
592590,,,,
592143,,,,
576474,,,,
588317,,,,
594537,,,,
578049,,,,
582333,,,,
580180,,,,
575238,,,,
575997,,,weak_396,
575986,,,,
575703,,,,
575992,,,,
589317,,,,
593741,,,,
594103,,,,
594113,,,,
593467,,,,
593738,,,,
593460,,,weak_396,1
594111,,,,
594200,,,,
593463,,,,
594209,,,,
593742,,,,
594197,,,,
579014,,,,
575695,,,,
579028,,,,
575709,,,,
576351,,,,
584816,,,,
584793,,,,
585764,,,,
576309,,,,
579029,,,,
584805,,,,
576355,,,,
576311,,,,
576310,,,,
576353,,,,
582638,,,,
589324,,,,
589322,,,,
589592,,,,
589600,,,,
589588,,,,
588430,,,,
588097,,,,
589073,,,,
588365,,,,
589543,,,,
576441,,,,
588199,,,,
587912,str_66,med_113,,1
587945,str_66,med_113,,
594085,,med_113,,
586733,str_66,med_113,,
591981,,,,
586551,,,,
575663,,,,
593222,,,weak_450,1
580732,,,,
587867,,,,
576458,,med_117,,1
581509,,,,
577687,,,,
591806,,,,
592127,,,,
591816,,,,
576267,,,,
578214,,,,
592937,,,,
589290,,,,
581755,,,,
578653,,,,
596461,,,,
581657,,,,
587866,,med_117,,
587482,,,,
590232,,,,
590063,,,,
589815,,,,
588600,,,,
578960,str_67,med_118,,1
581891,str_67,med_118,,
590616,,,,
575891,,,,
584958,,,,
587159,,,,
577183,str_68,med_119,,1
577185,,med_119,,
577193,,med_119,,
577188,str_68,med_119,,
577191,,med_119,,
579766,,,,
580648,,,,
591487,,,,
594285,,,,
590867,str_69,med_120,,1
590701,,,,
591495,,,,
580321,,,,
580302,,,,
580382,,,,
575400,,,,
575448,,,,
594894,,,,
580613,,,,
585794,,,,
590791,,,,
591338,,,,
585254,,,,
590018,,,,
577026,,,,
589718,,,,
